Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"Rpot2",1,"250 kΩ Potenciômetro"
"R1",1," Fotorresistor"
"R2, R3",2,"1 kΩ Resistor"
"PIEZO1",1," Piezo"
