Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1",1,"Vermelho LED"
"PIEZO1",1," Piezo"
"R1",1,"150 Ω Resistor"
"R2",1,"1 kΩ Resistor"
"DIST1",1," Sensor de distância ultrassônico (quatro pinos)"
