Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"SEN1",1," Sensor de umidade do solo"
"PIEZO1",1," Piezo"
"D1",1,"Vermelho LED"
"R1",1,"150 Ω Resistor"
"R2",1,"1 kΩ Resistor"
